Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,Gls,Ast,G+A,G-PK,G+A-PK,year
il Maccabi Haifa,20,28.1,6,66,7,6,13,6,1,1,14,1.17,1.0,2.17,1.0,2.0,2022-2023
eng Manchester City,23,27.1,13,143,31,23,54,29,2,5,21,2.38,1.77,4.15,2.23,4.0,2022-2023
fr Marseille,19,27.0,6,66,8,6,14,7,1,1,11,1.33,1.0,2.33,1.17,2.17,2022-2023
it Milan,23,26.3,12,132,14,9,23,12,2,3,28,1.17,0.75,1.92,1.0,1.75,2022-2023
it Napoli,22,26.4,10,110,26,20,46,22,4,8,20,2.6,2.0,4.6,2.2,4.2,2022-2023
fr Paris S-G,21,27.5,8,88,15,12,27,14,1,1,14,1.87,1.5,3.38,1.75,3.25,2022-2023
pt Porto,24,26.8,8,88,12,7,19,9,3,3,23,1.5,0.87,2.37,1.13,2.0,2022-2023
sct Rangers,22,28.3,6,66,2,1,3,1,1,1,10,0.33,0.17,0.5,0.17,0.33,2022-2023
de RB Leipzig,22,26.1,8,88,13,12,25,13,0,0,8,1.62,1.5,3.12,1.62,3.12,2022-2023
at RB Salzburg,19,22.5,6,66,5,3,8,4,1,1,11,0.83,0.5,1.33,0.67,1.17,2022-2023
es Real Madrid,22,27.8,12,132,26,21,47,23,3,3,14,2.17,1.75,3.92,1.92,3.67,2022-2023
es Sevilla,24,28.8,6,66,6,5,11,6,0,0,12,1.0,0.83,1.83,1.0,1.83,2022-2023
ua Shakhtar,20,24.3,6,66,8,7,15,8,0,0,16,1.33,1.17,2.5,1.33,2.5,2022-2023
pt Sporting CP,25,25.3,6,66,8,5,13,8,0,0,17,1.33,0.83,2.17,1.33,2.17,2022-2023
eng Tottenham,25,27.8,8,88,8,7,15,7,1,2,22,1.0,0.87,1.87,0.87,1.75,2022-2023
cz Viktoria Plzeň,22,28.1,6,66,5,4,9,4,1,1,12,0.83,0.67,1.5,0.67,1.33,2022-2023
